scheduleName,categoryId,fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Supplier Schedule,Generic Models,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_DESCRIPTION_TXT, ASS_PMT_PRO_SUPPLIER_TXT, CST_SUP_PREFERRED_SUPPLIER_TXT, CST_SUP_ALTERNATIVE_SUPPLIERS_TXT, CST_SUP_LOCAL_SUPPLIER_TXT, CST_SUP_COUNTRY_OF_ORIGIN_INT, CST_IMPORT_REQUIRED_BOOL, CST_SUP_SHIPPING_METHOD_TXT, CST_SUP_CUSTOMS_CLEARANCE_DAYS, CST_SUP_PROCUREMENT_LEAD_TIME_DAYS, CST_SUP_PAYMENT_TERMS_TXT, CST_SUP_QUALITY_INSP_REQ_BOOL, RGL_QA_APVD_VENDOR_TXT",,,"ASS_DESCRIPTION_TXT=Description, ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark",#808080,#000000,
Sustainability Schedule,Rooms,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_DESCRIPTION_TXT, PER_SUST_ENERGY_RATING_TXT, PER_SUST_WTR_RATING_NR, PER_SUST_RECYCLED_CONTENT_PCT, PER_SUST_RECYCLABLE_BOOL, PER_SUST_CARBON_FOOTPRINT_KG, PER_SUST_LEED_CONTRIB_TXT, PER_SUST_EDGE_CONTRIB_TXT, CST_ENERGY_ANNUAL_UGX_NUM_NR, PER_ENVIRONMENTAL_CLIMATE_ZONE_TXT, PER_ENVIRONMENTAL_TEMP_DESIGN_C, PER_ENVIRONMENTAL_HUMIDITY_DESIGN_PCT",,,"ASS_DESCRIPTION_TXT=Description, ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark",#0066CC,#000000,
Thermal Performance,Rooms,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_DESCRIPTION_TXT, PER_THERM_U_VALUE_W_M2K_NR, PER_THERM_R_VALUE_M2K_W, PER_THERM_THERMAL_MASS_KJ_M2K_KJ, PER_THERM_SOLAR_ABSORPTANCE_NR, PER_THERM_CONDENSATION_RISK_TXT, PER_THERM_NATURAL_VENT_TXT, PER_THERM_PASSIVE_DESIGN_TXT, PER_THERM_SHADING_DEVICE_TXT, PER_ENVIRONMENTAL_ALTITUDE_M, PER_ENVIRONMENTAL_RAINFALL_ANNUAL_MM, PER_ENVIRONMENTAL_CORROSION_PROT_TXT, PER_ENVIRONMENTAL_TERMITE_PROT_BOOL, PER_ENVIRONMENTAL_DUST_PROT_REQ_BOOL",,,"ASS_DESCRIPTION_TXT=Description, ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark",#0066CC,#000000,
Acoustic Schedule,Rooms,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOM_NUMBER_TXT, PER_ACOUSTICS_STC_RATING_TXT, PER_ACOUSTICS_IIC_RATING_TXT, PER_ACOUSTICS_BACKGROUND_NOISE_DB, PER_ACOUSTICS_REVERBERATION_TIME_SEC_NR, PER_ACOUSTICS_ISOLATION_REQ_BOOL, PER_ACOUSTICS_TREATMENT_TYPE_TXT, BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR, BLE_FLR_IMPACT_SOUND_INS_DB, BLE_WALL_SOUND_TRANSMISSION_CLASS_RATING_NR, BLE_DOOR_ACOUSTIC_RATING_DB, PROP_SOUND_RED_DB, PROP_ACOUSTIC_ABS",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number",#0066CC,#000000,
Facade Schedule,Curtain Panels,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_FACADE_TYPE_TXT, BLE_FACADE_MAT_TXT, BLE_FACADE_FINISH_TXT, BLE_FACADE_CLR_TXT, BLE_FACADE_PNL_SZ_TXT, BLE_FACADE_FIX_SYSTEM_TXT, BLE_FACADE_INS_BOOL, BLE_FACADE_VENTILATED_TXT, PLM_FACADE_WTR_PENETRATION_RESIST_NR, BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark",#0066CC,#000000,
Stair Schedule,Stairs,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_STAIR_TYPE_TXT, ASS_LOC_TXT, BLE_STAIR_WIDTH_MM, BLE_STAIR_RISE_MM, BLE_STAIR_GOING_MM, BLE_STAIR_HANDRAIL_HEIGHT_MM, BLE_STAIR_MAT_TXT, BLE_STAIR_TREAD_FINISH_TXT, BLE_STAIR_NOSING_TYPE_TXT, BLE_STAIR_HANDRAIL_MAT_TXT, BLE_STAIR_BALUSTRADE_TYPE_TXT, FLS_PROT_FLS_ESCAPE_STAIR_TXT, RGL_ACCESS_CMPL_STD_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_STAIR_GOING_MM=Actual Tread Depth, BLE_STAIR_RISE_MM=Actual Riser Height, BLE_STAIR_WIDTH_MM=Actual Run Width",#0066CC,#000000,
Structural Schedule,Structural Framing,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_STRUCT_ELE_TYPE_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, BLE_STRUCT_MAT_TXT, BLE_STRUCT_CONCRETE_GRADE_TXT, BLE_STRUCT_STEEL_GRADE_TXT, BLE_STRUCT_COLUMN_SZ_TXT, BLE_STRUCT_BEAM_SZ_TXT, BLE_STRUCT_SLAB_THICKNESS_MM, BLE_STRUCT_LD_CAP_KN_NR, BLE_STRUCT_REINFORCEMENT_TXT, BLE_STRUCT_FOUNDATION_TYPE_TXT, BLE_STRUCT_SEISMIC_DESIGN_BOOL, BLE_LOAD_BEARING_ELE_BOOL",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_STRUCT_ELE_TYPE_TXT=Type Name",#404040,#000000,
Finish Schedule,Rooms,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOM_NUMBER_TXT, BLE_FINISH_TYPE_TXT, BLE_FLR_FINISH_TXT, BLE_FLR_FINISH_MAT_TXT, BLE_WALL_FINISH_TXT, BLE_WALL_INTERIOR_FINISH_TXT, BLE_CEILING_FINISH_TXT, BLE_FINISH_TILE_SZ_TXT, BLE_FINISH_TILE_AREA_SQ_M, BLE_FINISH_TILE_QUANTITY_NR, BLE_FINISH_PLASTER_AREA_SQ_M, BLE_FINISH_PLASTER_THICKNESS_MM, BLE_FINISH_PAINT_AREA_SQ_M, BLE_FINISH_PAINT_COATS_NR, BLE_FINISH_PAINT_VOLUME_L",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number",#0066CC,#000000,
Support Schedule,Pipe Accessories,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_SPT_INST_DETAIL_TXT, ASS_LOC_TXT, PLM_SPT_LD_CAP_KG, PLM_SPT_ROD_SZ_MM, PLM_SPT_SPACING_M, PLM_SPT_ANCHOR_TYPE_TXT, PLM_SPT_ATTACHMENT_METHOD_TXT, ASS_MANUFACTURER_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_TAG_1_TXT=Type Mark",#3399FF,#000000,
Expansion Joint Schedule,Pipe Accessories,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_EXP_JOINT_MAT_TXT, ASS_LOC_TXT, PLM_EXP_JOINT_END_CONNECTION_TXT, PLM_EXP_JOINT_PRESSURE_RATING_BAR, PLM_EXJ_MOVEMENT_CAPABILITY_TXT, PLM_EXJ_AXIAL_MOVEMENT_MM, PLM_EXJ_LATERAL_MOVEMENT_MM, PLM_EXJ_ANGULAR_MOVEMENT_DEG, PLM_EXJ_TEMP_RANGE_C, PLM_EXJ_END_CONNECTION_TXT, ASS_MANUFACTURER_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_TAG_1_TXT=Type Mark",#3399FF,#000000,
