LessonId,ProjectId,LessonTitle,Category,ProblemStatement,RootCause,ActionTaken,Outcome,CostImpact,ApplicableTo,RelatedCode,RelatedMaterial,RelatedFormula,RelatedAssembly,AIIntentTriggered,Transferability
LL-061,CS-COM-010,UPS Room Must Be Fire-Isolated Even Inside Main Building,Fire-Safety,Fire marshal required 2-hour rating around UPS; original spec was 1-hour,UPS room treated as standard MEP room; hazard classification not assessed,Upgraded partitions to 2-hour assembly with mineral-wool core; sprinkler added,Fire-safety sign-off without further conditions,Added-7%,Commercial|Technology|Data-Centre|Industrial,FL-NFPA-101-10.2,,,,CREATE_WALL|CREATE_SPRINKLER|QUERY_FIRE_RATING,High
LL-062,CS-COM-011,Natural-Vent Louvres Need Acoustic Baffles for Schools,Acoustics,Measured noise level in hall was 58 dB(A); target was 42 dB(A),Louvres installed open; no acoustic lining on internal faces,Acoustic baffles (50mm mineral wool) added inside louvre boxes; flow re-checked,Noise level dropped to 40 dB(A); HVAC did not need to compensate,Saved-12%,Institutional|Commercial|Education|Assembly,FL-IBC-420.1,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-063,CS-COM-011,Fire-Exit Travel Distance Must Be 30m Maximum,Fire-Safety,Corner classroom was 34m from nearest exit; building control flagged,Travel distance calculated only for central rooms; corner checked late,Relocated one exit door; confirmed all rooms within 30m travel,Building control sign-off without delay,Saved-5%,Institutional|Commercial|Education|Assembly,FL-NFPA-101-10.2,,,,CREATE_DOOR|QUERY_CODE_COMPLIANCE,High
LL-064,CS-COM-012,Rubber Flooring Impact Rating Must Meet ASTM F1292,Flooring,Court floor used 8mm rubber; ASTM F1292 requires >12mm for drop-shock protection,Rubber thickness spec taken from supplier minimum; standard not cross-checked,Upgraded to 12mm elastomeric rubber; verified against ASTM F1292 CFC 20 impact,Sport-authority inspection passed; athlete safety confirmed,Added-8%,Commercial|Institutional|Sports,FL-ASTM-F1292,MAT-FL-142,,,MODIFY_FLOOR_TYPE|QUERY_CODE_COMPLIANCE,High
LL-065,CS-COM-012,High-Bay LED Uniformity Requires 5m Grid Maximum,MEP,Uniformity measured at 0.55; code requires 0.7 minimum,Lights placed at 7m grid to reduce fixture count,Reduced to 5m grid; fixture wattage reduced to maintain lumen output,Uniformity measured at 0.81; energy consumption unchanged,Neutral,Commercial|Industrial|Sports|Warehouse,DR-IBC-014,,,,CREATE_LIGHTING|QUERY_LIGHTING_LEVEL,High
LL-066,CS-COM-013,Commercial Kitchen Water Heater Sized for Peak-Hour Demand,Plumbing,Water ran cold during morning prep; heater undersized by 30%,Heater sized on daily average; morning peak-hour demand not modelled,Re-sized using PL-HEATER-SIZE with 60-min peak-hour input; 100-gallon commercial gas,Hot water available throughout morning prep; zero complaints,Added-20%,Commercial|Food-Service|Institutional,PL-IPC-807.1,,PL-HEATER-SIZE,,CREATE_WATER_HEATER|QUERY_FIXTURE_UNITS,High
LL-067,CS-COM-013,DWV Main Must Be 2.5 Inch for 42 FU on Single Branch,Plumbing,1.5-inch DWV branch backed up during multi-fixture use,Pipe sized using single-fixture flow; accumulated FU not added,Re-sized main to 2.5 inch using PL-PIPE-DWV; branch sizing confirmed,Zero backups at full occupancy,Added-10%,Commercial|Institutional|Food-Service,PL-IPC-712.1,,PL-PIPE-DWV,,CREATE_PIPE|QUERY_PIPE_SIZE,High
LL-068,CS-COM-014,60m Span Truss Needs Tuned Mass Damper for Wind,Structural,Truss vibrated visibly in 40 km/h wind; occupant discomfort reported,Deflection within code but dynamic vibration amplitude was 8mm,Tuned mass damper added at mid-span; vibration reduced to 1.2mm,Comfort criterion met; no further structural changes needed,Added-9%,Commercial|Institutional|Transportation|Long-Span,DR-IBC-007,,CD-STL-BP-AREA,,CREATE_BEAM|QUERY_CAPACITY,Medium
LL-069,CS-COM-014,Expansion-Joint Travel Must Be 150mm Minimum at Terminals,Flashing,Expansion joint cover popped off in summer; travel was only 80mm,Joint designed for 40°C range; actual range was 55°C with solar gain,Joint upgraded to 150mm travel with compression spring; cover re-anchored,Cover stayed in place through 60°C roof-surface temperature,Added-12%,Commercial|Institutional|Transportation|Any-Long-Span,,,CD-FL-EXP-JT-LEN,,CREATE_EXPANSION_JOINT|MODIFY_DIMENSION,High
LL-070,CS-INS-001,School Classroom RT Must Be Modelled Not Assumed,Acoustics,Finished classroom RT was 1.1s; target was 0.6s,RT assumed adequate with standard suspended ceiling; absorption area not calculated,Added acoustic lining to rear wall; ceiling tile absorption verified via calculation,Measured RT 0.58s; meets BB100 requirement,Added-6%,Institutional|Education|Commercial,FL-IBC-420.1,,,,CREATE_WALL|MODIFY_ACOUSTIC_RATING,High
LL-071,CS-INS-001,Sedum Roof Requires Structural Check for Wet-Ballast Load,Structural,Sedum substrate at 150mm weighed 2.8 kN/m²; slab designed for 1.5 kN/m²,Green-roof supplier provided dry weight only; wet weight 85% higher,Structural engineer checked wet ballast; slab stiffened with additional beams,Roof load test passed; sedum installed without issues,Added-10%,Institutional|Residential|Commercial|Any-Green-Roof,DR-IBC-007,,CD-STL-BP-AREA,,CREATE_ROOF|QUERY_CAPACITY,High
LL-072,CS-INS-002,Fume-Hood Exhaust Must Be Dedicated — No Shared Duct,MEP,Chemical vapour appeared in adjacent lab after shared exhaust fan cycled,Two hoods shared one exhaust duct; back-draft damper failed,Each hood given dedicated exhaust duct with separate fan and stack,Zero cross-contamination incidents; lab-safety audit passed,Added-18%,Institutional|Commercial|Laboratory|Healthcare,DR-IBC-014,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-073,CS-INS-002,Clean-Room HEPA Supply Requires Isolated Return Path,MEP,Clean-room particle count exceeded ISO 7 limit by 40%,Return air path shared with corridor; dust infiltrated via gap under door,Dedicated return duct installed; door sealed with gasket; pressure raised to +15 Pa,Particle count at ISO 7 classification; zero breach events,Added-14%,Institutional|Commercial|Laboratory|Pharmaceutical,DR-IBC-014,,,,CREATE_DUCTWORK|CREATE_DOOR|QUERY_VENTILATION,High
LL-074,CS-INS-003,Hospital OR Pressure Must Be +2.5 Pa Relative to Corridor,MEP,Post-op infection rate spiked; OR was at neutral pressure,Airlock doors left open during changeover; pressure equalized,Interlocked double-door airlock installed; pressure alarm at <2.0 Pa,Infection rate returned to baseline within 3 months,Added-5%,Institutional|Healthcare,DR-IBC-014,,,,CREATE_DOOR|CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-075,CS-INS-003,Medical-Gas Manifold Must Be Isolated from Structural Movement,Structural,Gas line cracked at seismic joint during minor tremor; manifold leaked,Medical-gas manifold rigidly welded to structural wall,Manifold mounted on flexible bracket with bellows at wall penetration,Gas system passed seismic shake-test at design base-shear,Added-8%,Institutional|Healthcare|Seismic,STL-ACI-318-20.3,,,,CREATE_PIPE|CREATE_CONNECTION,High
LL-076,CS-INS-004,Light Shelf Doubles Daylight Penetration in Deep Rooms,MEP,Interior zone had 80 lux natural light; target was 300 lux,Skylight alone could not reach interior of 12m-deep room,Angled light shelf at 1.2m height redirected skylight to back wall,Interior natural light rose to 310 lux; electric lighting off during day,Saved-30%,Institutional|Commercial|Residential|Any-Deep-Room,DR-IBC-014,,,,CREATE_SKYLIGHT|CREATE_LIGHTING,Medium
LL-077,CS-INS-004,Green-Roof Filter Fabric Must Be Inspected Annually,Waterproofing,Roof drain backed up; filter fabric clogged by root debris,No maintenance access or inspection schedule included in O&M manual,Access hatch added at every drain; annual inspection clause in lease,Zero drain blockages after maintenance regime started,Neutral,Institutional|Commercial|Any-Green-Roof,,CON-WP-005,CD-WP-AREA,,CREATE_WATERPROOFING|CREATE_ROOF,Medium
LL-078,CS-INS-005,Apparatus-Bay Exhaust Must Be 8 ACH Minimum for Diesel,MEP,CO2 level in bay hit 1200 ppm after engine warm-up; threshold is 1000,Exhaust fans sized for 6 ACH using office-type calculation,Re-sized fans to 8 ACH; CO sensor added for automatic fan boost,Bay CO2 stayed below 800 ppm at peak; no further issues,Added-10%,Institutional|Emergency|Industrial,DR-IBC-014,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-079,CS-INS-005,Quick-Release Door Must Be Tested Monthly,Fire-Safety,Quick-release door jammed during drill; mechanism corroded,Door tested only at annual fire-safety review,Monthly test clause added to O&M; mechanism replaced on first failure,Door operates in <4 seconds at every subsequent drill,Neutral,Institutional|Emergency|Commercial,FL-NFPA-101-10.2,,,,CREATE_DOOR|QUERY_FIRE_RATING,High
LL-080,CS-INS-006,Pool-Surround Waterproofing Needs Chlorine-Proof Membrane,Waterproofing,Standard EPDM membrane degraded within 6 months; pool surround leaked,EPDM rated for water only; chlorine concentration not considered,Replaced with chlorine-resistant liquid membrane + anti-slip tiles,Membrane passed 24-month pool-chemical exposure test,Added-15%,Institutional|Commercial|Sports|Pool,,CON-WP-002,CD-WP-DRY-FILM,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-081,CS-INS-006,Dehumidifier Sizing Must Use Wet-Bulb Temperature,MEP,Pool hall humidity hit 75% RH in summer; condensation on structure,Dehumidifier sized using dry-bulb air temperature,Re-sized using wet-bulb temperature; capacity increased 40% to 6000 kg/hr,Pool-hall RH controlled at 58%; zero condensation,Added-15%,Institutional|Commercial|Sports|Pool,DR-IBC-014,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-082,CS-INS-007,Blast-Resistant Facade Must Be Tested to UFC 4-205,Structural,Curtain-wall facade specified as blast-rated but no test-report provided,Manufacturer claimed blast rating without independent test evidence,Facade replaced with tested system with UFC 4-205 Level II certification,DoD security review passed; no further conditions,Added-22%,Institutional|Defence|Government|High-Security,STL-AISC-J3.3,,,,CREATE_WALL|CREATE_WINDOW_TYPED,High
LL-083,CS-INS-007,300mm Concrete Shear Wall Provides Blast AND Fire Rating,Structural,Original 200mm wall met blast but failed 1-hour fire rating,Blast and fire calculations done independently; not cross-checked,Upgraded all walls to 300mm; confirmed both blast resistance and 2-hour fire,Dual-rating sign-off without further structural changes,Added-10%,Institutional|Defence|Commercial|Any-Shear-Wall,STL-ACI-318-20.3,,,,CREATE_WALL|QUERY_FIRE_RATING,High
LL-084,CS-INS-008,Museum Climate Requires ±1°C Precision HVAC Zoning,MEP,Gallery temperature swung ±3°C daily; artifact curator flagged risk,Single HVAC zone served entire gallery; thermostat at door,Split into 3 micro-zones with individual VAV boxes and sensors,Temperature stability achieved ±0.8°C; artefact risk eliminated,Added-14%,Institutional|Commercial|Cultural|Museum,DR-IBC-014,,,,CREATE_HVAC_ZONE|MODIFY_HVAC_SETPOINT,High
LL-085,CS-INS-008,Lantern Skylight UV Film Must Be <5% Transmission,Envelope,UV-sensitive exhibit faded within 3 months; film was 12% transmission,Film spec taken from general glazing supplier; museum UV requirement not stated,Film replaced with museum-grade low-e UV at 3% transmission,UV-meter check passed; exhibit fading stopped,Added-8%,Institutional|Commercial|Cultural|Museum,,,,,CREATE_SKYLIGHT|MODIFY_WINDOW_GLAZING,High
LL-086,CS-INS-009,Anti-Ligature Fixture Must Have Zero Anchor Point,Plumbing,Standard wall-mounted toilet had exposed bolt heads; security flag raised,Standard commercial fixtures specified; anti-ligature requirement not communicated,Replaced with anti-ligature combo units with concealed fixings throughout,Security audit passed; zero exposed anchor points in any cell,Added-25%,Institutional|Justice|Correctional,PL-IPC-712.1,,,,CREATE_TOILET|CREATE_SINK|CREATE_SHOWER,High
LL-087,CS-INS-009,Detention Security Door Must Be 1hr Fire-Rated AND Mag-Lock,Fire-Safety,Building control required simultaneous fire-rating AND mag-lock release,Standard mag-lock doors not fire-rated; fire doors had no mag-lock,Specified certified 1-hour fire-rated door with fail-safe mag-lock,Fire-safety and security sign-off achieved simultaneously,Added-18%,Institutional|Justice|Correctional|High-Security,FL-NFPA-101-10.2,,,,CREATE_DOOR_TYPED|QUERY_FIRE_RATING,High
LL-088,CS-INS-010,Bus-Bay Exhaust Must Be 15 ACH for Diesel-Engine Bays,MEP,NO2 concentration in depot hit 0.5 ppm; occupational limit is 0.1 ppm,Exhaust rate set at generic 8 ACH; diesel-emission factor not applied,Fans re-sized to 15 ACH with NO2 sensor for automatic boost,NO2 stayed below 0.05 ppm at peak; COSHH passed,Added-12%,Institutional|Industrial|Transport|Depot,DR-IBC-014,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-089,CS-INS-010,Fuel-Bund Must Be 110% of Largest Single Tank,Waterproofing,Spill from largest tank overflowed 100% bund; environmental notification required,Bund sized at 100% of largest tank; code requires 110%,Bund walls raised 150mm to achieve 110%; secondary containment confirmed,Spill-containment passed EA inspection; no further environmental notice,Added-3%,Institutional|Industrial|Transport|Depot,,CON-WP-006,CD-WP-AREA,,CREATE_WATERPROOFING|CREATE_EXPANSION_JOINT,High
LL-090,CS-INF-001,Bridge-Abutment Primer Must Be Applied Before EPDM Bond,Waterproofing,EPDM sheet peeled off abutment after first freeze-thaw cycle,Membrane bonded directly to concrete without primer coat,Two-coat primer applied; 24-hour cure before EPDM bonding,Membrane adhesion tested at 1.8 N/cm²; passed ASTM D4541,Neutral,Infrastructure|Bridge|Any-Concrete-Surface,,CON-WP-003,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-091,CS-INF-001,Geotextile Filter Fabric Prevents Drain-Board Clogging,Waterproofing,Drain board channels clogged with fine soil particles within 6 months,No geotextile between soil and drain board,Geotextile installed over entire drain-board surface before backfill,Drain flow rate maintained at design value after 24 months,Neutral,Infrastructure|Residential|Commercial|Any-Below-Grade,,CON-WP-005,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-092,CS-INF-002,Vibration-Isolator Deflection Must Be Checked for Each Unit,MEP,One HVAC unit transmitted 60% of vibration through isolator,All isolators spec'd at same deflection; unit weights varied 30%,Each isolator deflection matched to actual unit weight; verified at install,Vibration transmission below 5% for all units,Neutral,Commercial|Infrastructure|Rooftop|MEP,DR-IBC-014,,,,CREATE_CONNECTION|MODIFY_HVAC_SETPOINT,Medium
LL-093,CS-INF-002,Counter-Flash at Every Roof Penetration — Zero Exceptions,Flashing,One conduit penetration was left unsealed; water entered roof void,Penetration list was incomplete; conduit added late and missed from flashing schedule,BIM model updated with every penetration; flashing schedule auto-generated,Zero unsealed penetrations at roof-completion inspection,Saved-15%,Commercial|Institutional|Infrastructure|Any-Flat-Roof,,CON-FL-001,CD-FL-WIN-PERIM,,CREATE_FLASHING|EXPORT_IFC,High
LL-094,CS-INF-003,Underground Parking Epoxy Rebar Is Non-Negotiable,Structural,Chloride-induced corrosion split concrete cover at 8 years in adjacent garage,Adjacent garage used black rebar; chloride ingress from salt-air not modelled,All rebar epoxy-coated per NACE Standard SP0190; cover 40mm minimum,Chloride content at 30 years: below 0.3% by mass; design life 50 years,Added-15%,Infrastructure|Commercial|Any-Below-Grade|Parking,STL-ACI-318-20.3,,,,CREATE_FOUNDATION|CREATE_WALL,High
LL-095,CS-INF-003,Underground Parking Ventilation Must Use CO Monitors,MEP,CO level hit 35 ppm during morning rush; limit is 25 ppm for 8-hr TWA,Fans ran on fixed timer; morning peak not accounted for,CO sensors installed at 10m intervals; fans boost to 8 ACH when CO >15 ppm,CO stayed below 20 ppm at peak; IBC occupancy requirement met,Added-8%,Infrastructure|Commercial|Any-Parking,DR-IBC-014,,,,CREATE_DUCTWORK|QUERY_VENTILATION,High
LL-096,CS-INF-004,Water-Treatment Roof TPO Must Be Chemical-Resistant Grade,Waterproofing,Standard TPO discoloured and became brittle near chemical-vent exhaust,TPO grade not specified; generic membrane used,Replaced with chemical-resistant TPO; primer matched to chemical exposure,Membrane passed 5-year inspection with zero degradation,Added-10%,Infrastructure|Commercial|Industrial|Chemical,,CON-WP-002,CD-WP-DRY-FILM,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-097,CS-INF-004,Roof Drain Sizing Must Account for 100-Year Storm Flow,Plumbing,Roof flooded during 100-year rain; 75mm drains could not handle 12 L/s,Drains sized for 10-year storm only,Re-sized to 100mm drains using 100-year rainfall intensity; overflow scuppers added,Roof cleared within 5 minutes of 100-year event; zero damage,Added-6%,Infrastructure|Commercial|Institutional|Any-Flat-Roof,PL-IPC-712.1,,PL-PIPE-DWV,,CREATE_PIPE|QUERY_PIPE_SIZE,High
LL-098,CS-INF-005,Telecoms Tower Anchor-Bolt Embed Must Be 30× Diameter,Connection,Two anchor bolts pulled out of concrete under cyclic load,Embed depth set at 20× diameter from generic spec,Re-designed to 30× diameter embed with epoxy grout; pull-out test passed,Bolt capacity exceeded design by 35%; tower certification achieved,Added-12%,Infrastructure|Telecoms|Any-Tower,STL-AISC-J3.4,CON-STL-018,CD-FND-ANCHOR-EMBED,,CREATE_CONNECTION|CREATE_FOUNDATION,High
LL-099,CS-INF-005,Grout Bed Under Tower Base Must Be Epoxy Not Cement,Connection,Cement grout cracked within 90 days; base tilted 2mm,Portland-cement grout used; shrinkage under large plate not considered,Replaced with epoxy grout at 50mm thickness; no-shrink verified,Base level within 0.5mm at 12-month check; zero further settlement,Added-5%,Infrastructure|Telecoms|Industrial|Heavy-Equipment,STL-AISC-J3.5,,CD-STL-BP-THICK,,CREATE_CONNECTION|MODIFY_MATERIAL,High
LL-100,CS-INF-006,Stadium Expansion Joint Spring Must Allow Bi-Directional Travel,Flashing,Joint cover popped on one side; spring was uni-directional,Joint designed for single-direction thermal movement only,Replaced with bi-directional compression-spring unit rated 200mm each way,Zero cover displacement through full seasonal cycle,Added-10%,Infrastructure|Commercial|Sports|Any-Long-Span,,,CD-FL-EXP-JT-LEN,,CREATE_EXPANSION_JOINT|MODIFY_DIMENSION,High
LL-101,CS-INF-006,Stainless-Steel Roof-Joint Cover Needs Safety Clips in Slope,Flashing,Metal cover slid down 600mm slope and fell off during wind event,Cover retained by gravity only; no positive fixity,Safety clips welded to cover; fixed to structural purlin with slotted holes,Cover secure at 150 km/h wind test; zero displacement,Added-4%,Infrastructure|Commercial|Sports|Any-Metal-Roof,,,,,CREATE_FLASHING|CREATE_CONNECTION,Medium
LL-102,CS-INF-007,Solar-Farm Pier Waterproof Cap Must Seal Before Rebar Corrosion,Waterproofing,Three piers showed rebar corrosion at 2 years; caps were installed after concrete cure,Cap installation deferred; rain hit exposed rebar during 4-week cure,Caps installed within 24 hours of concrete demolding; sealed with silicone bead,Zero corrosion at 5-year inspection; 30-year design life on track,Neutral,Infrastructure|Renewable|Solar|Any-Pier,STL-ACI-318-20.4,,,,CREATE_WATERPROOFING|CREATE_FOUNDATION,High
LL-103,CS-INF-007,Frost-Heave Pier Depth Is Minimum — Go 25% Deeper,Structural,Two piers cracked at frost line; heave force exceeded design,Piers set at published frost depth; no safety margin,All piers extended 25% beyond frost line; sleeve insulated at transition,Zero heave cracking in 3 consecutive winters,Added-8%,Infrastructure|Renewable|Solar|Any-Cold-Climate,DR-IBC-007,,CD-FND-ANCHOR-EMBED,,CREATE_FOUNDATION|QUERY_CAPACITY,High
LL-104,CS-INF-008,Tunnel-Portal Bentonite Waterstop Must Be Protected During Pour,Waterproofing,Bentonite tube swelled before concrete was placed; joint mis-aligned,Tube installed days before pour; groundwater activated it early,Tube installed max 4 hours before pour; plastic sleeve removed at pour face only,Joint sealed with zero groundwater intrusion at 12-month inspection,Neutral,Infrastructure|Rail|Tunnel|Any-Below-Grade,,CON-WP-004,CD-WP-OVERLAP-LEN,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-105,CS-INF-008,Double-Layer EPDM With Leak-Detection Mesh Finds Faults Fast,Waterproofing,Single-layer membrane developed a pinhole leak; source took 3 months to find,No leak-detection layer between membrane layers,Conductive mesh installed between two EPDM layers; electrical test locates faults,Leak found within 2 hours of first sign; repaired same day,Saved-40%,Infrastructure|Tunnel|Commercial|Any-Critical-Waterproofing,,CON-WP-003,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|QUERY_CODE_COMPLIANCE,High
LL-106,CS-INF-009,PT Tendon Re-Grouting Must Use Epoxy — Not Cement,Connection,Cement grout in re-grouted sleeve showed chloride ingress at 6 months,Portland-cement grout used because it was on-hand; spec called for epoxy,All re-grouted sleeves done with low-viscosity epoxy; chloride test passed,Tendon protection confirmed for 50-year design life,Added-8%,Infrastructure|Commercial|Parking|Any-PT-Repair,STL-ACI-318-20.3,,CD-STL-BP-THICK,,CREATE_CONNECTION|MODIFY_MATERIAL,High
LL-107,CS-INF-009,Expansion-Joint Replacement Must Be Done Dry — Seal Both Faces,Flashing,New expansion joint leaked because one face was wet during sealant application,Sealant applied in rain; one face still damp,All joint faces dried with heat gun; sealant applied in dry weather window,Joint sealed at 100% adhesion; zero leak at 12-month flood test,Neutral,Infrastructure|Commercial|Any-Expansion-Joint|Repair,,,CD-FL-EXP-JT-LEN,,CREATE_EXPANSION_JOINT|MODIFY_MATERIAL,Medium
LL-108,CS-INF-010,Sea-Wall Sacrificial Anode Must Be 25mm From Concrete Face,Connection,Anode bonded directly to concrete; galvanic current did not flow,Anode touching concrete surface; epoxy coating between them blocked current,Anode mounted 25mm from face on steel bracket; wire connection through concrete,Cathodic protection current confirmed at 0.9 V; design life 40 years,Neutral,Infrastructure|Marine|Coastal|Seawall,STL-AISC-J3.1,CON-STL-020,,,CREATE_CONNECTION|MODIFY_MATERIAL,High
LL-109,CS-INF-010,30mm Rebar Cover Is Minimum for Marine Splash Zone,Structural,20mm cover rebar at tidal zone corroded through in 4 years,Generic 20mm cover from inland code used,All splash-zone reinforcement set at 40mm cover with epoxy coating,Chloride penetration at 10 years: below threshold; design life 60 years,Added-10%,Infrastructure|Marine|Coastal|Seawall,STL-ACI-318-20.3,,,,CREATE_FOUNDATION|CREATE_WALL,High
LL-110,CS-INF-011,Root-Resistant Membrane Is Essential Under Any Planted Roof,Waterproofing,Plant roots penetrated standard EPDM in 18 months; leak into structure,Non-root-resistant EPDM specified because it was cheaper,Replaced with root-resistant EPDM + copper-foil root barrier layer,Root penetration test passed to FLL standard; membrane intact at 3 years,Added-10%,Infrastructure|Commercial|Residential|Any-Green-Roof,,CON-WP-003,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|CREATE_ROOF,High
LL-111,CS-INF-011,Rooftop-Garden Irrigation Leak Must Be Caught at Membrane,Plumbing,Irrigation pipe burst; 2000 litres soaked through substrate before detection,No leak-detection layer between substrate and membrane,Leak-detection layer (conductive mesh) installed under growing medium,Next irrigation fault detected within 30 minutes; zero water reached structure,Added-5%,Infrastructure|Commercial|Residential|Any-Green-Roof,,,CD-WP-DRY-FILM,,CREATE_PIPE|CREATE_WATERPROOFING,High
LL-112,CS-INF-012,Coastal Pile Cathodic Protection Must Be at Pile Head,Waterproofing,Pile-head corrosion visible at 3 years despite anode on shaft,Anode placed at mid-height of pile; splash-zone at head unprotected,Anode relocated to pile-head cap; additional anode added in splash zone,Pile-head potential at -0.95 V; design life 40 years confirmed,Added-7%,Infrastructure|Marine|Coastal|Pile,STL-ACI-318-20.3,,,,CREATE_FOUNDATION|CREATE_WATERPROOFING,High
LL-113,CS-INF-012,Pile-Cap Epoxy Membrane Must Cure 48hrs Before Load,Waterproofing,Pile cap membrane cracked when pile load applied at 24-hour cure,Crane schedule did not allow 48-hour cure before load application,Construction sequence adjusted; all pile caps membrane-cured 48hrs before load,Zero membrane cracking; inspection passed at full design load,Neutral,Infrastructure|Marine|Commercial|Any-Pile-Cap,,CON-WP-002,CD-WP-DRY-FILM,,CREATE_WATERPROOFING|CREATE_FOUNDATION,Medium
LL-114,CS-INF-013,Wind-Turbine Anchor-Bolt Pre-Stress Must Be Verified Post-Grout,Connection,Two bolts showed less than 70% pre-stress after grout cured,Bolts torqued before grout; grout shrinkage relaxed tension,All bolts re-torqued 48hrs post-grout; LFRP coating verified undamaged,Pre-stress at 95% of design for all 36 bolts; certification achieved,Neutral,Infrastructure|Renewable|Wind|Any-Tower,STL-AISC-J3.4,CON-STL-018,CD-FND-ANCHOR-SPG,,CREATE_CONNECTION|QUERY_CAPACITY,High
LL-115,CS-INF-013,Ring-Foundation Rebar Cage Must Be Lifted as Single Unit,Structural,Cage spliced on-site with 30 lap joints; two splices failed inspection,Cage too large for transport; fabricated in 4 segments on-site,Cage fabricated off-site in 2 segments with factory-welded splices; lifted by crane,Zero splice failures; pour proceeded without delay,Saved-10%,Infrastructure|Renewable|Wind|Any-Large-Foundation,STL-ACI-318-20.3,,CD-FND-ANCHOR-QTY,,CREATE_FOUNDATION|CREATE_CONNECTION,High
LL-116,CS-RES-019,Laterite Soil Stabilisation Avoids Foundation Failure,Structural,Initial strip footing on raw laterite soil settled 22 mm after first wet season,Laterite clay fraction 35% undetected; no soil stabilisation specified,Added 10% cement stabilisation to footing pour; extended footing width to 450mm; re-graded drainage,Zero additional settlement at 6-month inspection; KCCA sign-off first attempt,Added-8%,Residential|Uganda|Tropical|Any-Strip-Footing,DR-IBC-007,,CD-FND-ANCHOR-SPG,,CREATE_FOUNDATION|QUERY_CAPACITY,High
LL-117,CS-RES-019,Ridge Ventilator Sizing Must Match Roof Area Ratio,MEP,Upper-floor bedrooms 4°C above ambient at noon; condensation on ceilings at night,Ridge ventilators sized generically; actual roof plan area ratio was 1:18 not required 1:10,Replaced 2 standard ventilators with 4 louvre-type at 1:10 ratio; added eave inlet vents,Upper-floor temperature dropped to 1.5°C above ambient; condensation eliminated,Added-4%,Residential|Tropical|Any-Pitched-Roof,,,,,CREATE_ROOF|MODIFY_DIMENSION|QUERY_VENTILATION,High
LL-118,CS-COM-015,Kampala Flash-Flood Barrier Must Be 200 mm Minimum,Waterproofing,Ground-floor retail flooded in 120-minute rainfall event; 80 mm of water ingress,Original barrier height 100 mm based on generic spec; local 1-in-5-yr event is 200 mm,Raised barrier to 200 mm with reinforced concrete lip; added French drain with 300 mm gravel bed,Zero ingress in subsequent 180-minute event; insurance claim avoided,Saved-35%,Commercial|Uganda|Tropical|Urban-Flood-Risk,,CON-WP-001,CD-WP-DRY-FILM,,CREATE_WATERPROOFING|MODIFY_DIMENSION,High
LL-119,CS-COM-015,Roof-Garden Substrate Depth Controls Heat-Island Delta,Envelope,Roof surface 55°C in dry season; floor below roof 38°C without insulation,Waterproof membrane specified without substrate insulation or vegetation layer,Added 150 mm expanded clay substrate + sedum; measured membrane surface at 38°C post-install,Floor below roof dropped to 28°C; energy saving on ceiling fans 22%,Saved-22%,Commercial|Tropical|Any-Flat-Roof,,,FL-HEAT-LOSS,ASSY-EXT-002,CREATE_WATERPROOFING|MODIFY_ROOF_TYPE|QUERY_ENERGY_EFFICIENCY,High
LL-120,CS-INS-011,Operating-Theatre ACH 12 Needs Pre-Cooled Supply Air,MEP,Split-system could not achieve 12 ACH at 22°C; room stayed at 28°C,System sized on ambient air; tropical intake temperature 34°C overwhelmed cooling coil,Added evaporative-pad pre-cooler reducing intake to 28°C; upsized supply fan 40%,Room temperature 22°C sustained; infection-control audit passed,Added-15%,Institutional|Healthcare|Tropical|Any-Operating-Theatre,FL-ASHRAE-90.1-C,,,,CREATE_PIPE|MODIFY_DIMENSION|QUERY_VENTILATION,High
LL-121,CS-INS-011,DPC Under Slab Alone Does Not Stop Termite Intrusion,Structural,Termites breached DPC at slab edge within 8 months; visible trail on wall,Only DPC sheet specified; no chemical or physical termite barrier at perimeter,Installed physical termite barrier (stainless mesh 0.5 mm aperture) at all slab edges + perimeter spray,Zero termite breach at 18-month inspection; NEMA pest-control record filed,Added-6%,Institutional|Residential|Uganda|Any-Slab-on-Ground,,,,,CREATE_FOUNDATION|MODIFY_MATERIAL,High
