ProjectId,ProjectName,Category,SubCategory,Region,Year,FloorArea_M2,Stories,StructureType,FoundationType,WallSystems,RoofType,KeyFeatures,Codes_Applied,Challenges,Solutions,CostPerM2_USD,SustainabilityRating,AIIntents_Used,AIEntities_Used,Description
CS-INS-004,Public Library with Green Roof,Institutional,Public,UK,2022,1800,2,Steel-Frame,Concrete-Slab,Timber-Clad Facade|Steel Frame|Acoustic-Lined Reading Room|Sprinkler,Flat Green Roof Extensive 150mm,Acoustic reading room RT 0.5s|Green roof 150mm extensive|Solar panels 25 kW|Daylight 300 lux natural,Building Regs 2021|BS 8100|CIBSE|LZA,Green-roof ballast load 2.5 kN/m²|Natural-light 300 lux without electric|Acoustic isolation of reading room,Acoustic partition with STC 50 around reading room|Skylights + light shelves for 300 lux|Green-roof engineered substrate,360,BREEAM-Outstanding,CREATE_ROOF|CREATE_SKYLIGHT|MODIFY_ACOUSTIC_RATING|CREATE_LIGHTING,green roof|skylight|acoustic|reading room|library|daylight,"Two-storey public library with 150 mm extensive green roof, natural-daylight skylights, and acoustic reading room."
CS-INS-005,Fire Station,Institutional,Emergency,USA,2022,1400,1,Steel-Frame,Concrete-Slab,Steel Frame|Epoxy Floor Apparatus Bay|Gear Room|Quick-Release Doors|Sprinkler,Flat Roof TPO + Metal Parapet,Apparatus bay with 4 quick-release doors|Gear-room with thermal protection|Sprinkler all areas|Alarm response lighting,IBC 2021|NFPA 1|Fire-Service Standards,Quick-release door operation <5s|Apparatus-bay drainage|Toxic-fume exhaust from bay,Overhead doors 7.5m × 4.2m with electric quick-release|Bay drain with sump and separator|Exhaust fans 8 ACH,400,LEED-Silver,CREATE_DOOR|CREATE_DUCTWORK|CREATE_PIPE|QUERY_VENTILATION|QUERY_FIRE_RATING,apparatus bay|quick-release door|gear room|exhaust duct|fire station|epoxy,"Single-storey fire station with quick-release apparatus doors, toxic-fume exhaust, and full sprinkler coverage."
CS-INS-006,Community Sports Centre with Swimming Pool,Institutional,Sports,UK,2022,3600,1,Steel-Portal,Concrete-Slab-8in,Chlorine-Resistant Tiles|Steel Portal|Waterproof Membrane Pool Surround|Dehumidification,Pitched Metal 3:12,25m pool|Dehumidification 6000 kg/hr|Waterproof surround|Spectator gallery|Changing rooms,Building Regs 2021|PEHE|Sport England|CIBSE,Pool-surround waterproofing with chlorine resistance|Dehumidification humidity 60% RH|Acoustic control in pool hall,Liquid membrane + chlorine-proof tiles + anti-slip|Packaged dehumidifier unit|Acoustic lining on ceiling over pool,440,BREEAM-Very-Good,CREATE_WATERPROOFING|CREATE_PIPE|QUERY_VENTILATION|MODIFY_FLOOR_TYPE,pool|waterproofing|dehumidification|chlorine|tiles|sports centre,"Community sports centre with 25 m pool, chlorine-resistant waterproof surround, and 6 000 kg/hr dehumidification."
CS-INS-007,Military Barracks Residential Block,Institutional,Defence,USA,2021,4800,4,Reinforced-Concrete,Mat-Foundation,Concrete Shear Walls|Blast-Rated Windows|Fire-Rated Partitions|Sprinkler,Flat Roof R-30,200 rooms|Blast-rated glazing|1hr fire-rated partitions|Sprinkler + smoke|IED-standoff distance,UFC 4-205|IBC 2021|NFPA 13|DoD Standards,Blast-overpressure 10 psi|IED stand-off 30m|Fire separation between floors,Blast-resistant curtain-wall panels|Concrete shear walls 300mm|Fire-rated assemblies floor and partition,500,N/A,CREATE_WALL|CREATE_WINDOW_TYPED|QUERY_FIRE_RATING|CREATE_SPRINKLER,blast|shear wall|fire rating|sprinkler|concrete|military,"Four-storey reinforced-concrete military barracks with blast-rated glazing, 300 mm shear walls, and 1-hour fire separation."
CS-INS-008,Museum Exhibition Hall,Institutional,Cultural,UK,2023,2400,1,Steel-Long-Span,Concrete-Raft,Steel Long-Span 45m|Climate-Controlled|UV-Filtered Glazing|Acoustic-Lined,Pitched Metal 3:12 + Lantern Skylights,45m clear span|Climate 20°C 45% RH|UV filter on all glazing|Acoustic RT 1.5s|Lantern skylights diffused,Building Regs 2021|PAS 1081|BS 7974|CIBSE,45m structural span deflection control|UV protection <5% transmission|Temperature stability ±1°C,Box-truss with deflection L/500|Low-e UV-blocking laminated glass in lanterns|Precision HVAC with zone controls,680,BREEAM-Outstanding,CREATE_BEAM|CREATE_SKYLIGHT|CREATE_WINDOW_TYPED|QUERY_VENTILATION|MODIFY_HVAC_SETPOINT,long-span|lantern skylight|UV filter|climate control|museum|truss,"Museum exhibition hall with 45 m clear-span steel truss, UV-filtered lantern skylights, and precision climate control."
CS-INS-009,Correctional Facility Wing,Institutional,Justice,USA,2022,3800,2,Reinforced-Concrete,Mat-Foundation,Concrete All Walls|Security-Glass Partitions|Anti-Ligature Fixtures|Sprinkler,Flat Roof R-25,100 cells|Anti-ligature plumbing|Security-rated glazing|Sprinkler + smoke|Detention-grade hardware,IBC 2021|IPC|ACI 318|DOJ Standards,Anti-ligature fixture design|Security-rated door hardware|Concealed structural elements,Exposed-concrete walls with sealed joints|Anti-ligature sink + toilet + shower combo|Security doors 1hr rated,560,N/A,CREATE_TOILET|CREATE_SINK|CREATE_SHOWER|QUERY_FIRE_RATING|CREATE_DOOR_TYPED,anti-ligature|security|concrete|toilet|sink|shower|detention,Two-storey reinforced-concrete correctional wing with anti-ligature plumbing fixtures and security-rated doors.
CS-INS-010,Public Transport Bus Depot,Institutional,Transport,UK,2022,8000,1,Steel-PEB,Concrete-Slab-8in,Metal Building Envelope|Epoxy Floor|Oil-Water Separator|Fuel Storage|Sprinkler,Pitched Metal 3:12,60-bus capacity|Oil-water separator|Fuel storage bunded|Sprinkler all bays|Exhaust-extraction per bay,Building Regs 2021|COSHH|EA Permit|Health & Safety,Exhaust-extraction per bay|Oil-water separator sizing|Fuel-storage bunding 110%,Exhaust fans 15 ACH per bay|Oil-water separator 100 GPM|Bunded fuel tank room with 110% containment,190,N/A,CREATE_DUCTWORK|CREATE_PIPE|CREATE_WATERPROOFING|CREATE_EXPANSION_JOINT,exhaust duct|oil-water separator|bunding|fuel storage|bus depot|epoxy,"Single-storey steel PEB bus depot for 60 buses with exhaust extraction, oil-water separator, and bunded fuel storage."
CS-INF-001,Bridge Abutment Waterproofing,Infrastructure,Bridge,USA,2022,0,0,Reinforced-Concrete,Concrete-Caisson,Concrete Abutment|Sheet Membrane EPDM|Drain Board|Geotextile,N/A,EPDM sheet membrane on abutment face|Geotextile filter|Drain board|Backfill compaction,AASHTO|ASTM D4541|FHWA,Sheet-membrane adhesion to vertical concrete|Freeze-thaw membrane durability|Backfill damage to membrane,Two-coat primer + bonded EPDM 60mil|Geotextile over drain board|Protective board before backfill,280,N/A,CREATE_WATERPROOFING|CREATE_FOUNDATION|QUERY_CODE_COMPLIANCE,EPDM|abutment|geotextile|drain board|bridge|sheet membrane,"Bridge abutment waterproofing with 60-mil bonded EPDM, geotextile filter, and drain board before backfill."
CS-INF-002,Rooftop Mechanical-Plant Platform,Infrastructure,Rooftop,USA,2023,120,0,Steel-Grating,Existing-Structure,Steel Grating Platform|Vibration Isolators|Waterproof Flashing|Expansion Joints,Flat Roof Existing,HVAC units × 3 on raised platform|Vibration isolators all units|Counter-flashing at penetrations|Expansion joints,IBC 2021|ASHRAE 90.1|Manufacturer Spec,Vibration transmission to occupied floor below|Waterproofing around all penetrations|Platform steel corrosion protection,Elastomeric isolators 6mm deflection|Counter-flash + boot all penetrations|Hot-dip galvanised grating,520,N/A,CREATE_FLASHING|CREATE_EXPANSION_JOINT|CREATE_CONNECTION|MODIFY_HVAC_SETPOINT,counter flashing|vent boot|vibration|expansion joint|rooftop|HVAC,"Rooftop mechanical-plant platform with vibration isolators, counter-flashed penetrations, and galvanised grating."
CS-INF-003,Underground Parking Garage,Infrastructure,Parking,USA,2022,5600,2,Post-Tensioned-Concrete,Concrete-Wall,Concrete Walls|Post-Tensioned Slabs 220mm|Waterproof Membrane Top|Epoxy Coated Rebar,Slab Covered-Above,300 spaces|Full waterproofing top and sides|Epoxy-coated rebar|Ventilation 6 ACH|Expansion joints every 20m,IBC 2021|ACI 318|NACE|IPC,Waterproofing integrity under traffic load|Epoxy-rebar durability|Exhaust-fan sizing for CO,Top-side membrane with 12-mil EPDM + wear course|All rebar epoxy-coated|6 ACH ventilation with CO monitors,240,N/A,CREATE_WATERPROOFING|CREATE_EXPANSION_JOINT|CREATE_DUCTWORK|QUERY_VENTILATION,waterproofing|post-tension|epoxy rebar|expansion joint|ventilation|underground parking,"Two-level underground parking for 300 cars with full EPDM waterproofing, epoxy rebar, and CO-monitored ventilation."
CS-INF-004,Water Treatment Plant Roof,Infrastructure,Water,USA,2021,900,1,Steel-Frame,Concrete-Slab,Steel Frame|Metal Deck|Waterproof Membrane|Insulation R-25|Parapet,Flat Roof TPO + Metal Parapet Cap,Waterproof membrane over metal deck|Insulation R-25|Parapet cap flashing|Roof drain with sump,IBC 2021|EPA|AWWA|NFPA,Chemical-resistant membrane selection|Roof-drain sizing for flash flood|Parapet uplift anchorage,TPO with chemical-resistant primer|Screw-down insulation with clad-metal deck|Parapet cap with counter flashing,320,N/A,CREATE_WATERPROOFING|CREATE_FLASHING|CREATE_ROOF|QUERY_CODE_COMPLIANCE,TPO|parapet cap|counter flashing|roof drain|water treatment|insulation,"Water-treatment-plant roof with TPO waterproofing, R-25 insulation, and parapet-cap counter flashing."
CS-INF-005,Telecommunications Tower Base,Infrastructure,Telecoms,USA,2023,40,0,Steel-Lattice,Concrete-Caisson-Deep,Concrete Base Pedestal|Grout Bed|Anchor Bolts 12×1-1/4in|Weatherproof Enclosure,N/A,12 anchor bolts 1-1/4 dia|Deep-caisson foundation 6m|Weatherproof equipment enclosure|Lightning protection,IBC 2021|TIA-222|Geotechnical Report,60m tower base shear|Wind uplift 450 kN|Seismic at Zone 3,Deep caissons at 6m with reinforced cage|Grout bed 50mm epoxy|12 anchor bolts 1-1/4 at 30 dia embed,480,N/A,CREATE_CONNECTION|CREATE_FOUNDATION|QUERY_CAPACITY|QUERY_CODE_COMPLIANCE,anchor bolt|caisson|grout|tower|foundation|telecoms,"Telecoms tower base with 12 × 1¼-inch anchor bolts, deep-caisson foundation at 6 m, and epoxy grout bed."
CS-INF-006,Stadium Roof Expansion Joint,Infrastructure,Sports,USA,2022,0,0,Steel-Truss,Existing-Concrete,Steel Truss|Expansion Joint 200mm Travel|Silicone-Membrane Roof|Metal Cover,Pitched Metal Roof,200mm-travel expansion joint in metal roof|Silicone sealant at base|Foam core + metal cover assembly,IBC 2021|ASCE 7-22|Manufacturer Spec,Thermal movement 200mm|Wind uplift on cover|Maintenance access on roof slope,Compression-spring expansion joint with 200mm travel|Silicone base sealant|Stainless-steel cover with safety clips,850,N/A,CREATE_EXPANSION_JOINT|CREATE_FLASHING|MODIFY_MATERIAL|QUERY_CAPACITY,expansion joint|200mm travel|silicone|metal cover|stadium|roof,Stadium roof expansion joint rated for 200 mm thermal travel with silicone base and stainless-steel cover.
CS-INF-007,Solar-Farm Mounting Foundation,Infrastructure,Renewable,USA,2023,0,0,Steel-Ground-Rack,Concrete-Pier-Array,Steel Galvanised Rack|Concrete Pier Array|Rebar Cage|Waterproof Cap,N/A,200 piers at 4.5m grid|Rebar cages in each pier|Waterproof cap on each pier|Galvanised steel racking,IBC 2021|NEC|Manufacturer Engineering,Frost-heave at 1.2m depth|Wind uplift on panels 2.8 kPa|Lightning-rod grounding,Piers below frost line at 1.5m|Waterproof cap + sealant on each|Galvanised racking with earth strap,90,N/A,CREATE_FOUNDATION|CREATE_CONNECTION|CREATE_WATERPROOFING|QUERY_CAPACITY,pier|galvanised|rebar|waterproof cap|solar|frost heave,Solar-farm ground-mount system on 200 concrete piers below frost line with waterproofed caps and galvanised racking.
CS-INF-008,Rail Tunnel Portal Waterproofing,Infrastructure,Rail,UK,2022,0,0,Reinforced-Concrete,Concrete-Diaphragm-Wall,Concrete Portal|Bentonite Waterstop|Sheet Membrane|Drain Board|Geotextile,N/A,Bentonite waterstop at all joints|EPDM sheet membrane|Drain board + geotextile|Grout injection ports,BS EN 1504|BS EN 7102|Network Rail Standards,Hydrostatic pressure 6m head|Joint-leak risk at construction seams|Freeze-thaw at portal entrance,Bentonite tube at all construction joints|Double-layer EPDM with leak-detection|Drain board + geotextile over membrane,920,N/A,CREATE_WATERPROOFING|CREATE_FOUNDATION|QUERY_CODE_COMPLIANCE,bentonite|EPDM|drain board|diaphragm wall|tunnel|hydrostatic,"Rail-tunnel portal waterproofing with bentonite waterstops, double-layer EPDM, and leak-detection mesh."
CS-INF-009,Parking Structure Post-Tension Repair,Infrastructure,Parking,USA,2023,3200,3,Existing-Post-Tensioned,Existing-Concrete,Existing PT Slab|Tendon Re-Grouting|Slab Patch|Waterproof Membrane Repair,Flat Roof Existing,Tendon re-grouting 40 tendons|Concrete patch and reseal|New waterproof membrane|Expansion-joint replacement,ACI 318|PTI|Owner Engineering Report,Corroded tendons in 3 slabs|Waterproof membrane failure at joints|Expansion-joint deterioration,Grouted sleeve repair at all broken tendons|Epoxy injection of cracks|Full membrane re-waterproof + new exp joints,180,N/A,CREATE_WATERPROOFING|CREATE_EXPANSION_JOINT|CREATE_CONNECTION|QUERY_CAPACITY,post-tension|tendon|epoxy injection|expansion joint|waterproofing|repair,"Post-tensioned parking-structure repair: tendon re-grouting, crack epoxy injection, and full membrane replacement."
CS-INF-010,Coastal Sea-Wall Reinforcement,Infrastructure,Marine,UK,2022,0,0,Reinforced-Concrete,Rock-Anchor,Concrete Face|Rock Anchors 25mm|Rebar 16mm @ 150|Waterproof Coating|Sacrificial Anode,N/A,Rock anchors into granite|Rebar 16mm @ 150|Marine-grade concrete|Sacrificial zinc anodes,BS 8004|BS EN 1992|Environment Agency|Maritime,Saltwater corrosion of rebar|Wave impact 12 kN/m²|Freeze-thaw cycling at tidal zone,Epoxy-coated rebar + sacrificial anodes|Marine-grade concrete with silica fume|30mm cover minimum,750,N/A,CREATE_FOUNDATION|CREATE_CONNECTION|MODIFY_MATERIAL|QUERY_CAPACITY,sea wall|rock anchor|sacrificial anode|marine concrete|corrosion|coastal,"Coastal sea-wall reinforcement with rock anchors, epoxy-coated rebar, sacrificial anodes, and marine-grade concrete."
CS-INF-011,Rooftop Garden Waterproofing,Infrastructure,Landscape,USA,2023,400,0,Existing-Concrete,Existing,Concrete Roof Deck|Waterproof Membrane 60mil|Drainage Mat|Filter Fabric|Growing Medium,Flat Roof Existing + Garden,60-mil EPDM membrane|Drainage mat 25mm|Filter fabric|Growing medium 200mm|Irrigation system,IBC 2021|ASTM D4541|ASTM E2399,Ballast load 1.8 kN/m²|Root-penetration resistance|Irrigation leak onto structure below,Root-resistant EPDM + copper-foil root barrier|Dimple-mat drainage with 25mm depth|Leak detection layer under membrane,350,LEED-Gold,CREATE_WATERPROOFING|CREATE_PIPE|CREATE_ROOF|QUERY_CODE_COMPLIANCE,rooftop garden|EPDM|root barrier|drainage mat|irrigation|green roof,"Rooftop garden waterproofing with 60-mil root-resistant EPDM, copper-foil barrier, dimple-mat drainage, and leak detection."
CS-INF-012,Coastal Villa Foundation Pile Design,Infrastructure,Marine,UAE,2022,600,2,Steel-on-Pile,Concrete-Driven-Pile,Driven Concrete Piles 400mm|Steel Cap|Pile Cap Waterproof|Marine Grade,N/A-Piles,12 driven piles 400mm dia|Pile-cap waterproofing|Marine-grade concrete|Cathodic protection,IBC 2021|ACI 318|Geotechnical Report|Local Code,Loose sand at 3m requiring deeper piles|Marine splash-zone corrosion|Pile-cap waterproofing under high humidity,Piles driven to 12m bearing stratum|Pile-cap epoxy membrane|Cathodic-protection sacrificial anodes at pile heads,680,N/A,CREATE_FOUNDATION|CREATE_WATERPROOFING|MODIFY_MATERIAL|QUERY_CAPACITY,pile foundation|pile cap|cathodic protection|marine|waterproofing|driven pile,Coastal villa on 12 driven concrete piles at 12 m depth with pile-cap waterproofing and cathodic protection.
CS-INF-013,Wind Farm Tower Foundation,Infrastructure,Renewable,Denmark,2023,0,0,Steel-Tower,Concrete-Ring-Foundation,Concrete Ring Foundation 12m dia|Rebar Dense Cage|Grout Sleeve|Anchor Bolts 36×M72|Waterproof Cap,N/A,36 M72 anchor bolts in ring foundation|Rebar 3-layer cage|Grout sleeve connection|Waterproof cap on foundation,Eurocode 1|IEC 61400|DNV Standards|Danish Building Code,Overturning moment 12 MN·m|Cyclic fatigue on bolt threads|Foundation waterproofing in marine air,Pre-stressed anchor bolts with LFRP coating|Epoxy grout sleeve 50mm gap|Full waterproof membrane on ring cap,1100,Renewable-Certified,CREATE_CONNECTION|CREATE_WATERPROOFING|CREATE_FOUNDATION|QUERY_CAPACITY,anchor bolt|ring foundation|grout sleeve|M72|wind turbine|overturning moment,"Onshore wind-turbine ring foundation with 36 M72 anchor bolts, 3-layer rebar cage, and waterproofed cap."
CS-RES-019,Kira Township Duplex,Residential,Tropical,Uganda,2023,240,2,Reinforced-Concrete-Block,Strip-Footing-Concrete,Concrete Block 200mm Plastered|Mosquito-Screen Windows|Ceiling Board Partitions,Pitched IBR 5:12 with Ridge Ventilators,Cross-ventilation layout|Ridge ventilators|Mosquito screens all windows|Rainwater harvesting tank|UMEME 3-phase supply,Uganda Building Act 2008|KCCA Guidelines|NEMA Uganda|UBS 365,Laterite soil bearing capacity 80 kPa|Termite infestation risk|Heavy rain runoff 200mm/hr|UMEME power-supply connection lead time,Soil-cement stabilised footings at 600mm depth|Termite-treated concrete + perimeter spray|Gutter-to-tank system 10000L|Early UMEME application + temporary genset,165,Green-Star-2,CREATE_ROOM|CREATE_WALL|CREATE_ROOF|QUERY_VENTILATION|CREATE_WATERPROOFING,concrete block|IBR roof|ridge ventilator|mosquito screen|rainwater tank|laterite,"Two-storey concrete-block duplex in Kira with passive cross-ventilation, ridge ventilators, mosquito screening, and a 10 000-L rainwater harvesting system."
CS-COM-015,Kampala Ground-Floor Retail Strip,Commercial,Retail,Uganda,2023,1200,1,Reinforced-Concrete-Frame,Concrete-Pad,Concrete Block Plastered|Glass Curtain Front|Acoustic Partition Rear,Flat Slab Waterproofed Roof-Garden,Awning over street frontage|Roof-garden green canopy|Flood-barrier at entrance|Solar PV 30 kW array|NEMA-registered waste disposal,Uganda Building Act 2008|NEMA Uganda|KCCA Commercial Guidelines|UBS 365,Urban flooding from Kampala drainage overflow|Heat island effect roof temperature 55°C|KCCA commercial-use permit sequence|Soil laterite with clay pockets,200mm raised flood barrier + French drain perimeter|Roof-garden substrate 150mm + waterproof membrane|Pre-application KCCA consultation|Pad foundations with reinforced tie beams,220,EDGE-Certified,CREATE_WALL|CREATE_WATERPROOFING|CREATE_FLASHING|QUERY_FLOOD_RISK|MODIFY_ROOF_TYPE,retail strip|roof garden|flood barrier|solar PV|curtain front|laterite pad,"Single-storey reinforced-concrete retail strip in Kampala with a waterproofed roof garden, flood barriers, and a 30 kW solar PV array."
CS-INS-011,Mbarara District Health Centre IV,Institutional,Healthcare,Uganda,2023,1850,1,Reinforced-Concrete-Block,Strip-Footing-Concrete,Concrete Block 200mm|Terrazzo Floor Wards|Vinyl Sheet Theatres|Acoustic Partitions OPD,Pitched IBR 4:12 Ridge Ventilated,40-bed ward with mosquito netting|Operating theatre pressurised 2 Pa|Borehole water supply + treatment|Medical gas manifold|NEMA waste-segregation system,Uganda Health Facility Standards|WHO Infection-Control Guidelines|NEMA Uganda|IBC 2021 (imported ref)|ASHRAE 62.1 (imported ref),Groundwater at 8m depth required borehole sizing|Operating-theatre air-change 12 ACH in tropical heat|Medical-waste segregation for NEMA compliance|Termite exposure under slab,Borehole pump 15 m³/hr with sand filter + UV|Evaporative-pad pre-cooling + split-system ACH 12|Yellow-bag / sharps / infectious segregation stations|DPC + termite barrier under all slabs,310,WHO-Compliant,CREATE_ROOM|CREATE_PIPE|CREATE_WATERPROOFING|QUERY_VENTILATION|QUERY_CODE_COMPLIANCE,health centre|borehole|operating theatre|medical gas|mosquito net|termite barrier|DPC,"Single-storey 40-bed District Health Centre IV in Mbarara with pressurised operating theatre, borehole water supply, and NEMA-compliant medical-waste segregation."
CS-INF-014,Entebbe Lakeshore Seawall Waterproofing,Infrastructure,Marine,Uganda,2022,0,0,Reinforced-Concrete,Sheet-Pile-Concrete,Concrete Retaining Wall|Bituminous Sheet Membrane|Drainage Mat|Geotextile Filter,N/A,Bituminous sheet membrane 4mm on lakeward face|Geotextile drainage layer|Splash-zone above-water membrane overlap|NEMA environmental-impact assessment compliant,NEMA Uganda EIA|Uganda Water Act|ASTM D4541|AASHTO (imported)|Lake Victoria Shoreline Management Plan,Lake-water fluctuation 0.9m annual|UV degradation of exposed membrane in splash zone|Sediment compaction against wall face|NEMA EIA clearance timeline 6 months,Extended membrane 800mm above max water mark with UV-stable top coat|Sand-cement protective screed below water table|Early NEMA engagement with pre-EIA consultation,340,N/A,CREATE_WATERPROOFING|CREATE_FOUNDATION|QUERY_CODE_COMPLIANCE|MODIFY_MATERIAL,seawall|bituminous membrane|geotextile|sheet pile|splash zone|Lake Victoria,"Lakeshore seawall waterproofing in Entebbe with 4-mm bituminous membrane, geotextile drainage, and UV-stable splash-zone extension to Lake Victoria shoreline standards."
CS-INF-015,Wakiso Solar Microgrid Substations,Infrastructure,Renewable,Uganda,2023,480,1,Steel-Frame,Concrete-Pad,Galvanised Steel Sheet|Louvre Side Walls|Concrete Block Battery Room,Flat IBR Canopy with 30° Tilt PV Array,150 kW solar array on canopy roof|Battery inverter room with 4 ACH ventilation|Earthing grid 0.5 ohm|UMEME grid-tie synchronisation|Lightning arrester mast,Uganda Electricity Act|UMEME Grid-Tie Standards|IEC 61215|UBS 365|NEMA Uganda,Lightning strike risk in Wakiso (avg 40 days/yr)|Battery-room temperature >40°C without ventilation|UMEME grid synchronisation commissioning lead time|Laterite soil corrosion to galvanised steel,Lightning-arrester mast 6m + surge protector at inverter|Louvre walls + evaporative pad cooling battery room|Early UMEME liaison + commissioning schedule|Epoxy-coated base plates + sacrificial anode,580,IEC-61215-Certified,CREATE_WALL|CREATE_ROOF|CREATE_CONNECTION|QUERY_EARTHING|MODIFY_INSULATION,solar PV|battery room|inverter|lightning arrester|UMEME|louvre|earthing grid,"150 kW solar microgrid substation cluster in Wakiso with canopy-mounted PV arrays, evaporative-cooled battery rooms, and lightning-arrester protection."
